사용일자,자치구,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,강북구,우이신설선,4.19민주묘지,4490,4351,20231110
20231107,송파구,3호선,가락시장,10355,10131,20231110
20231107,송파구,8호선,가락시장,9008,9829,20231110
20231107,금천구,7호선,가산디지털단지,51922,51875,20231110
20231107,금천구,경부선,가산디지털단지,19845,22588,20231110
20231107,강서구,9호선,가양,24810,24202,20231110
20231107,강북구,우이신설선,가오리,4945,4850,20231110
20231107,서대문구,경의선,가좌,6815,6508,20231110
20231107,강남구,2호선,강남,86310,83282,20231110
20231107,강남구,7호선,강남구청,18792,20723,20231110
20231107,강남구,분당선,강남구청,11007,12662,20231110
20231107,강동구,5호선,강동,20053,19520,20231110
20231107,강동구,8호선,강동구청,11953,12406,20231110
20231107,광진구,2호선,강변(동서울터미널),31437,29454,20231110
20231107,강동구,5호선,강일,6512,6110,20231110
20231107,송파구,5호선,개롱,7332,7652,20231110
20231107,구로구,경인선,개봉,24772,24248,20231110
20231107,강남구,분당선,개포동,5414,5606,20231110
20231107,강서구,9호선,개화,3295,2187,20231110
20231107,강서구,5호선,개화산,6599,6171,20231110
20231107,송파구,5호선,거여,11550,11238,20231110
20231107,광진구,2호선,건대입구,37237,39447,20231110
20231107,광진구,7호선,건대입구,15095,15368,20231110
20231107,종로구,3호선,경복궁(정부서울청사),26637,26320,20231110
20231107,송파구,3호선,경찰병원,8504,8532,20231110
20231107,강동구,5호선,고덕,11816,11409,20231110
20231107,성북구,6호선,고려대(종암),10761,10572,20231110
20231107,서초구,3호선,고속터미널,44043,40421,20231110
20231107,서초구,7호선,고속터미널,16907,15119,20231110
20231107,서초구,9호선,고속터미널,14465,19090,20231110
20231107,마포구,공항철도 1호선,공덕,3012,3968,20231110
20231107,마포구,5호선,공덕,16612,17346,20231110
20231107,마포구,경의선,공덕,4407,3737,20231110
20231107,마포구,6호선,공덕,21844,21228,20231110
20231107,노원구,7호선,공릉(서울과학기술대),13924,13756,20231110
20231107,강서구,9호선,공항시장,3238,3546,20231110
20231107,관악구,신림선,관악산(서울대),3138,3425,20231110
20231107,광진구,5호선,광나루(장신대),15617,14611,20231110
